,Type of person,2/2/16 0:00,2/2/16 0:01,2/2/16 0:02,2/2/16 0:03,2/2/16 0:04,2/2/16 0:05,2/2/16 0:06,2/2/16 0:07,2/2/16 0:08,2/2/16 0:09,2/2/16 0:10,2/2/16 0:11,2/2/16 0:12,2/2/16 0:13,2/2/16 0:14,2/2/16 0:15,2/2/16 0:16,2/2/16 0:17,2/2/16 0:18,2/2/16 0:19,2/2/16 0:20,2/2/16 0:21,2/2/16 0:22,2/2/16 0:23,2/2/16 0:24,2/2/16 0:25,2/2/16 0:26,2/2/16 0:27,2/2/16 0:28,2/2/16 0:29,2/2/16 0:30,2/2/16 0:31,2/2/16 0:32,2/2/16 0:33,2/2/16 0:34,2/2/16 0:35,2/2/16 0:36,2/2/16 0:37,2/2/16 0:38,2/2/16 0:39,2/2/16 0:40,2/2/16 0:41,2/2/16 0:42,2/2/16 0:43,2/2/16 0:44,2/2/16 0:45,2/2/16 0:46,2/2/16 0:47,2/2/16 0:48,2/2/16 0:49,2/2/16 0:50,2/2/16 0:51,2/2/16 0:52,2/2/16 0:53,2/2/16 0:54,2/2/16 0:55,2/2/16 0:56,2/2/16 0:57,2/2/16 0:58,2/2/16 0:59,2/2/16 1:00,2/2/16 1:01,2/2/16 1:02,2/2/16 1:03,2/2/16 1:04,2/2/16 1:05,2/2/16 1:06,2/2/16 1:07,2/2/16 1:08,2/2/16 1:09,2/2/16 1:10,2/2/16 1:11,2/2/16 1:12,2/2/16 1:13,2/2/16 1:14,2/2/16 1:15,2/2/16 1:16,2/2/16 1:17,2/2/16 1:18,2/2/16 1:19,2/2/16 1:20,2/2/16 1:21,2/2/16 1:22,2/2/16 1:23,2/2/16 1:24,2/2/16 1:25,2/2/16 1:26,2/2/16 1:27,2/2/16 1:28,2/2/16 1:29,2/2/16 1:30,2/2/16 1:31,2/2/16 1:32,2/2/16 1:33,2/2/16 1:34,2/2/16 1:35,2/2/16 1:36,2/2/16 1:37,2/2/16 1:38,2/2/16 1:39,2/2/16 1:40,2/2/16 1:41,2/2/16 1:42,2/2/16 1:43,2/2/16 1:44,2/2/16 1:45,2/2/16 1:46,2/2/16 1:47,2/2/16 1:48,2/2/16 1:49,2/2/16 1:50,2/2/16 1:51,2/2/16 1:52,2/2/16 1:53,2/2/16 1:54,2/2/16 1:55,2/2/16 1:56,2/2/16 1:57,2/2/16 1:58,2/2/16 1:59,2/2/16 2:00,2/2/16 2:01,2/2/16 2:02,2/2/16 2:03,2/2/16 2:04,2/2/16 2:05,2/2/16 2:06,2/2/16 2:07,2/2/16 2:08,2/2/16 2:09,2/2/16 2:10,2/2/16 2:11,2/2/16 2:12,2/2/16 2:13,2/2/16 2:14,2/2/16 2:15,2/2/16 2:16,2/2/16 2:17,2/2/16 2:18,2/2/16 2:19,2/2/16 2:20,2/2/16 2:21,2/2/16 2:22,2/2/16 2:23,2/2/16 2:24,2/2/16 2:25,2/2/16 2:26,2/2/16 2:27,2/2/16 2:28,2/2/16 2:29,2/2/16 2:30,2/2/16 2:31,2/2/16 2:32,2/2/16 2:33,2/2/16 2:34,2/2/16 2:35,2/2/16 2:36,2/2/16 2:37,2/2/16 2:38,2/2/16 2:39,2/2/16 2:40,2/2/16 2:41,2/2/16 2:42,2/2/16 2:43,2/2/16 2:44,2/2/16 2:45,2/2/16 2:46,2/2/16 2:47,2/2/16 2:48,2/2/16 2:49,2/2/16 2:50,2/2/16 2:51,2/2/16 2:52,2/2/16 2:53,2/2/16 2:54,2/2/16 2:55,2/2/16 2:56,2/2/16 2:57,2/2/16 2:58,2/2/16 2:59,2/2/16 3:00,2/2/16 3:01,2/2/16 3:02,2/2/16 3:03,2/2/16 3:04,2/2/16 3:05,2/2/16 3:06,2/2/16 3:07,2/2/16 3:08,2/2/16 3:09,2/2/16 3:10,2/2/16 3:11,2/2/16 3:12,2/2/16 3:13,2/2/16 3:14,2/2/16 3:15,2/2/16 3:16,2/2/16 3:17,2/2/16 3:18,2/2/16 3:19,2/2/16 3:20,2/2/16 3:21,2/2/16 3:22,2/2/16 3:23,2/2/16 3:24,2/2/16 3:25,2/2/16 3:26,2/2/16 3:27,2/2/16 3:28,2/2/16 3:29,2/2/16 3:30,2/2/16 3:31,2/2/16 3:32,2/2/16 3:33,2/2/16 3:34,2/2/16 3:35,2/2/16 3:36,2/2/16 3:37,2/2/16 3:38,2/2/16 3:39,2/2/16 3:40,2/2/16 3:41,2/2/16 3:42,2/2/16 3:43,2/2/16 3:44,2/2/16 3:45,2/2/16 3:46,2/2/16 3:47,2/2/16 3:48,2/2/16 3:49,2/2/16 3:50,2/2/16 3:51,2/2/16 3:52,2/2/16 3:53,2/2/16 3:54,2/2/16 3:55,2/2/16 3:56,2/2/16 3:57,2/2/16 3:58,2/2/16 3:59
Brenton Bersin,panthers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.704587942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.814325413,0,0,0,0,0,0,0,0.861400861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.251973642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tre Boston,panthers,0,0,0,0,0,0.663086458,0.666721467,0.670356467,0.6828061,0,0,0,0,0,0,0.70353592,0.708153046,0.712770162,0.717387279,0.722004405,0.726621521,0.735720518,0.987606812,1.239493096,1.49137939,0,0,0,0,0,0.769100168,0.779544132,0.789988096,0.795603108,0.801218129,0.806833149,0.814227398,0.816269511,0,0,0,0,0,0,0,0,0,0,0,0.895029179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.040772996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.155202812,1.164846113,1.174489405,1.184132706,0,0,0,0,0,0,0,0,0,0,0,0,0,2.633630478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.626357497,1.64045903,1.654560563,1.668662096,1.68276362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.132083975,2.14296938,2.153854774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Corey Brown,panthers,0,0,0,0,0,0,0,0,1.36561219,0.689994261,0.689994261,0.690840848,0.691687436,0.930148904,1.168610372,1.40707184,0,0,0,0,0,0,0,0.741474677,0.743676147,0.745877617,0.750522133,0.755166639,0.759811146,0.764455662,0.769100168,0.779544132,0.789988096,0,0,0,0,0,0,0,0,0,0.831060376,0.836876143,0.842691919,0.853159371,0.863626823,0.874094275,0.884561727,0.895029179,0,0,0,0,0,0,0,0,0,0,0.952637372,0,0,0,0,0,0,0,0,0,0,0,0,1.022325992,1.030788183,1.039250374,1.047712565,1.056174756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.368265421,1.218408154,1.218408154,1.218408154,1.218408154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.519189347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.909384749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.304474728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.511650105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.93872727,2.955438537,2.972149814,2.98886109,3.005572367,3.022283634,0,0,0,0
Nate Chandler,panthers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.919106235,0,0,0,0,0,0,0,0,0,0,0,0,0.999728741,0.988212544,0,0,0,0,0,0,1.052220358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.390963332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kurt Coleman,panthers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.735720518,0.738259798,0.740799068,0.743338347,0.745877617,0.751237813,0.755352289,0.759466764,0.767097095,0.774727425,0.782357756,0.789988096,0.794904958,0.799821829,0.806833149,0,0,0,0,0,0,0,0,0,0.85018853,0,0,0,0,0,0,0,0,0,0.919106235,0,0,0,0,0,0,0,0,0,0,0,0,0.999728741,0.988212544,0.999007132,1.00980171,1.016063851,1.022325992,1.032290784,1.042255566,1.052220358,1.278899506,1.505578654,1.732257802,1.95893695,2.185616098,1.112930849,1.112930849,1.112930849,1.119023404,1.125115968,1.131208523,0,0,0,0,0,0,0,0,0,0,0,0,0,1.251973642,1.260739897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.477731695,0,0,0,0,0,0,0,0,0,1.574290262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.789534095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.878177303,2.905638975,0,0,0,0,0,0,0,0,0,0,0
Jerricho Cotchery,panthers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.726621521,0,0,0,0,0,0,0,0.759466764,0.767041652,0.77461654,0.782191427,0,0,0,0,0,0,0,0,0,0,0,0,0.842691919,0,0,0,0,0,0,0,0.883878068,0,0,0,0,0,0.94196871,0,0,0,0,0,0,0,0.981809817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.094019892,0,0,0,0,0,0,0,1.155202812,0,0,0,0,0,0,0,0,1.228507158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.435380896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.511650105,2.544737719,2.577825323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.783766458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thomas Davis,panthers,0.651585822,0.654674453,0.657763085,0.660851716,1.108819461,1.556787216,2.004754961,0.68199482,0.68199482,0.68199482,0.688641234,0.695287649,0.694854051,0.694854051,1.40712411,1.760443972,2.113763834,0.715732499,0.715732499,0.720474859,0.726621521,0.731572573,0.736523625,0.741474677,0.7450731,0.748671513,0.752269927,0.755868341,0.759466764,0.760931206,1.162657031,1.564382855,0.814227398,0.814227398,0.814227398,0.814227398,0.814227398,0.816269511,1.151651829,1.487034156,1.822416474,2.157798801,2.493181119,0.840530558,0.845359549,0.85018853,1.302080972,1.753973414,0.882025971,1.177445386,1.472864792,1.768284207,0.92343463,0.92343463,0.92343463,0.92343463,0.92343463,0.930767365,1.411492747,1.892218139,2.857912116,0.950114383,0.954040159,0.957965935,1.932014902,2.279740759,2.627466626,2.975192483,1.021047492,1.021047492,1.021047492,1.021047492,1.021047492,1.027321018,1.033594552,1.04290746,1.052220358,1.596743593,2.141266828,2.16009356,2.15618396,1.101898787,1.101898787,1.101898787,3.338792547,2.243153429,1.132168629,1.139251113,1.146333608,1.153416092,3.516837919,5.880259755,8.243681581,7.104796254,1.196443892,3.607744359,2.434842916,2.44723381,2.459624704,2.472015607,2.484406501,1.251973642,1.261221456,1.27046927,1.279717094,1.294108115,1.305461677,1.316815239,1.322214777,1.327614325,1.333013873,1.344603763,1.356193653,1.367783542,1.379373442,1.390963332,1.392886271,1.389106811,1.404531509,1.419956198,1.435380896,4.329898006,1.469204078,1.469204078,1.859977738,2.250751397,2.641525066,3.032298726,3.083135649,3.862798394,4.64246114,4.655544927,7.759495834,1.572460602,1.574290262,1.587703884,1.601117496,4.82349388,1.636021805,1.636021805,1.65425183,1.672481855,0,0,0,0,0,0,0,0,1.788047548,1.789534095,7.218971936,1.830803627,1.845399116,1.859994615,1.874590114,1.889185604,1.903781103,1.908984489,1.914187875,1.91939126,1.924594646,1.948081786,1.971568936,1.995056085,2.007829178,2.019372054,2.030914921,2.042457797,2.054000664,2.06554354,0,0,0,0,0,0,0,0,2.208963323,2.22301699,2.237070648,2.251124315,2.260104225,2.269084126,2.285070147,2.293389497,2.301708838,2.310028188,2.318347538,2.326666889,0,0,0,0,0,0,0,4.931491921,2.493465559,2.48999112,0,0,0,0,0,0,0,0,2.611373725,3.961956733,5.312539749,2.689764624,2.689764624,0,0,0,0,0,0,0,0,0,0,0,0,0,2.905638975,2.907471032,2.909303079,2.911135136,2.912967193,0,0,0,0,0,0,0
Ryan Delaire,panthers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ed Dickson,panthers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.751237813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95020018,0.958103813,0.966007447,0.974616181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.131208523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.48156906,0,0,0,0,0,0,0,0,0,0,1.601117496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.922172882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.926468572,0,0,0,0,0,0,0,0
Kony Ealy,panthers,0,0,0,0,0,0,0,0,0.6828061,0,0,0,0,0,0,0,0.704587942,0.707503899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88946461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999728741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.131208523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.778213623,0,0,0,0,0,0,1.477731695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dwan Edwards,panthers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.707503899,0.713120937,0.718737975,0.724355014,0.729972052,0.73558909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.887772089,0.888336262,0.888900436,0.88946461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.153416092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.333013873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cortland Finnegan,panthers,0,0,0,0,0,0.663086458,0.66846802,0.673849583,0.679231145,0.684612698,0.689994261,0.691614188,0.693234124,0.694854051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.760931206,0.769100168,0,0,0,0,0,0,0,0.814325413,0.818509149,0.822692895,0.826876631,0.831060376,0.836876143,0.842691919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.900228775,0.981809817,0.981809817,0.981809817,0.981809817,0.981809817,0.990769279,0.999728741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.112930849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.251973642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.650275346,0,0,0,0,0,0,0,0,0,0,0,0,1.830803627,0,0,0,0,0,0,0,0,1.924594646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.905638975,0,0,0,0,0,0,0,0,0,0,0
Devin Funchess,panthers,0,0,0,0,0,0,0,0,0,0,0,0,0,0.694854051,0,0,0,0,0,0,0,0,0.73558909,0,0,0,0,0,0,0.760931206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.882025971,0.883513693,0.885001425,0.886489156,0.887976879,0.88946461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999728741,1.005058431,1.010388121,1.015717802,1.021047492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.131208523,0,0,0,0,0,0,0,0,0,1.218408154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.389106811,1.420738989,0,0,0,0,0,0,1.48156906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.68276362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.698193847,0,0,0,0,0,0,0,0,2.815461286,0,0,0,0,0,0,0,0,0,0,0,0,3.022283634,0,0,0,0
Graham Gano,panthers,0,0,0,0,0,0,0,0,0,0,0,0,0.691687436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.883878068,0.88946461,0.899790301,0.910115983,0.920441674,0.930767365,0.938057368,0.94534737,0.952637372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.052220358,1.061426889,1.070633409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.945316791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.50224864,2.278254126,0,0,0,0,0,0,2.326666889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ted Ginn,panthers,0.651585822,1.949499859,0.661262366,0.6618704,0.662478434,0.663086458,0.668251657,1.016931928,1.36561219,0.689994261,0.689994261,1.390575298,0.694854051,0.694854051,2.81424822,1.40707184,0.704587942,0.71016022,0.715732499,2.161424586,2.184293065,2.207161555,0.73558909,0.740639397,0.745689695,0.747326717,0.748963739,0.750600761,0.759466764,0.764283461,0.769100168,0.779544132,0.789988096,0.794904958,0.799821829,0.80530439,0.81078695,0.816269511,0.814325413,1.093974053,1.373622702,1.653271342,1.662120752,1.681061116,0.85018853,0.85018853,0.86080101,0.871413491,0.882025971,0.883513693,0.885001425,0.886489156,0.887976879,0.88946461,0.899790301,0.910115983,0.920441674,0.930767365,0.94196871,0.946109069,1.905274744,0.957965935,0.957965935,0.957965935,0.966007447,0.974616181,0.983173508,0.991730825,0.988212544,0.988212544,1.008200024,1.014623758,1.021047492,1.027321018,1.033594552,1.040772996,1.576561249,2.112349502,1.070633409,1.080046785,0,0,0,0,0,0,0,1.131208523,1.139206619,1.147204715,1.155202812,1.164846113,1.174489405,1.184132706,1.195228961,1.206325207,1.217421453,2.436816298,1.2209842,1.228507158,1.238749145,1.248991132,1.25923312,1.269475107,1.279717094,1.293440832,1.307164579,1.314747716,1.322330843,1.330784937,2.66696981,4.003154682,1.341092624,2.714200212,1.362606135,0,0,0,0,0,0,0,0,0,0,2.963138129,1.532736196,1.532736196,1.532736196,1.532736196,1.542292251,1.551848306,1.562154459,1.572460602,1.574290262,0,0,0,0,0,0,0,0,1.699522715,1.71335822,0,0,0,0,0,0,0,0,0,0,0,0,1.881280465,1.903781103,1.906582926,1.909384749,0,0,0,0,0,0,1.993460375,2.015228115,2.036995864,2.058763613,2.06554354,0,0,0,0,0,0,2.176624889,2.190058646,2.203492403,2.216926159,2.245200731,0,0,0,0,0,2.304474728,2.318051515,2.331628302,2.345205089,2.358781876,2.372358653,2.391126012,2.409893361,2.42866071,2.447428059,2.466195408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.689764624,2.700277281,2.710789928,2.721302585,2.731815233,2.736867576,0,0,0,0,0,0,0,0,2.905638975,2.912582171,2.919525367,2.926468572,2.950422335,2.974376108,2.998329871,3.022283634,3.037283532,3.052283421,0,0
Tyronne Green,panthers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shaq Green-Thompson,panthers,0,0,0,0,0,0,0.668251657,0,0,0,0,0,0,0.694854051,0,0,0,0,0,2.161424586,0.741474677,0.741474677,0.741474677,0.741474677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.816938395,0.820747196,0,0,0,0,0,0,0.876986707,0.882025971,0.884899035,0.887772089,0.884142108,0.883878068,0.895620791,0.907363513,0.919106235,0.926727066,0.934347888,0.94196871,0.946109069,0.952637372,0.950114383,0.954040159,0.957965935,0,0,0,0,0,0.988212544,1.008200024,1.00980171,1.016063851,1.022325992,0,0,0,0,0,0,1.078091975,0,0,0,0,0,0,0,0,1.153416092,0,0,0,0,0,0,0,0,0,0,0,0,0,3.80058464,1.307164579,1.307164579,1.307164579,1.316815239,0,0,0,0,0,0,0,0,2.785772552,0,0,0,0,0,0,0,0,2.963138129,1.532736196,1.532736196,1.532736196,1.532736196,1.542292251,1.551848306,3.10379833,1.607831297,1.607831297,1.607831297,1.607831297,1.607831297,1.622817756,1.637804224,1.652790693,1.667777161,1.68276362,1.690730216,1.698696812,1.706663399,1.714629995,1.738528495,1.762427005,3.553819979,1.789534095,1.789534095,0,0,0,0,0,1.881280465,0,0,0,0,0,0,0,1.995056085,0,0,0,0,0,0,2.075865822,2.087993613,2.104458901,2.120924198,2.137389486,2.153854774,3.277320082,4.40078539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.466195408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.689764624,0,0,0,0,0,0,0,0,2.831707899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
